Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français
11,IAE Paris - Sorbonne Business School,IAE de Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_d%27administration_des_entreprises_de_Paris
84,Sciences Po Lyon,IEP de Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Lyon
11,Institut Sup'Biotech de Paris,Sup'Biotech,privé,Île-de-France,94,
11,Institut supérieur du commerce de Paris,ISC Paris Business School,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_du_commerce_de_Paris
28,Université Côte d'Azur,,public,Provence-Alpes-Côte d'Azur,61,
28,Université de Caen Normandie,UNICAEN,public,Normandie,14,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Caen-Normandie
84,Université Grenoble Alpes,,public,Auvergne-Rhône-Alpes,38,https://fr.wikipedia.org/wiki/Universit%C3%A9_Grenoble-Alpes
84,Université Lumière - Lyon 2,Lyon II,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_Lumi%C3%A8re-Lyon-II
0,Université de Mayotte,,public,Mayotte,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Mayotte
28,École de management de Normandie,EM Normandie,privé,Normandie,76,https://fr.wikipedia.org/wiki/EM_Normandie_Business_School
84,École nationale supérieure d'architecture de Clermont-Ferrand,ENSACF,public,Auvergne-Rhône-Alpes,63,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Clermont-Ferrand
28,École nationale supérieure d'architecture de Normandie,Ensa de Normandie,public,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Normandie
93,Sciences Po Aix,IEP d'Aix-en-Provence,public,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_d%27Aix-en-Provence
75,Sciences Po Bordeaux,IEP de Bordeaux,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Bordeaux
11,"Institut national du sport, de l'expertise et de la performance",,public,Île-de-France,75,"https://fr.wikipedia.org/wiki/Institut_national_du_sport,_de_l%27expertise_et_de_la_performance"
11,Institut polytechnique de Paris,IP Paris,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Institut_polytechnique_de_Paris
11,Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt,PSPBB,public,Île-de-France,75,
