Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français,géolocalisation,latitude_ecole,longitude_ecole
76,Institut français d'archéologie orientale du Caire,IFAO,public,Étranger,11,https://fr.wikipedia.org/wiki/Institut_fran%C3%A7ais_d%27arch%C3%A9ologie_orientale,"30.0328599, 31.2352879",30.0328599,31.2352879
53,Université de Brest,,public,Bretagne,29,,"48.39905661506747, -4.503364562988282",48.39905661506747,-4.503364562988282
75,Université de Pau et des Pays de l'Adour,,public,Nouvelle-Aquitaine,64,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Pau_et_des_pays_de_l%27Adour,"43.31372, -0.36509",43.31372,-0.36509
32,Université de Technologie de Compiègne,,public,Hauts-de-France,60,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_technologie_de_Compi%C3%A8gne,"49.40024, 2.800108",49.40024,2.800108
44,Centre national des arts du cirque,CNAC,privé,Grand Est,51,https://fr.wikipedia.org/wiki/Centre_national_des_arts_du_cirque,"48.95119, 4.36256",48.95119,4.36256
75,Excelia Group,Excelia,privé,Nouvelle-Aquitaine,17,https://fr.wikipedia.org/wiki/Excelia,"46.14069, -1.15616",46.14069,-1.15616
75,Institut d'ingénierie informatique de Limoges,3IL,privé,Nouvelle-Aquitaine,87,https://fr.wikipedia.org/wiki/Institut_d%27ing%C3%A9nierie_informatique_de_Limoges,"45.81879933351791, 1.2718766927719118",45.81879933351791,1.2718766927719118
28,Institut national des sciences appliquées de Rouen Normandie,INSA de Rouen Normandie,public,Normandie,76,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Rouen,"49.3852, 1.06839",49.3852,1.06839
27,Université Marie et Louis Pasteur,,public,Bourgogne-Franche-Comté,25,,"47.240643, 6.02313",47.240643,6.02313
52,Nantes Université,,public,Pays de la Loire,44,https://fr.wikipedia.org/wiki/Nantes_Universit%C3%A9,"47.209413, -1.555908",47.209413,-1.555908
11,CY Cergy Paris Université,,public,Île-de-France,95,https://fr.wikipedia.org/wiki/CY_Cergy_Paris_Universit%C3%A9,"49.03889, 2.07415",49.03889,2.07415
84,École nationale des travaux publics de l'État,,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_des_travaux_publics_de_l%27%C3%89tat,"45.77840382390363, 4.92339849472046",45.77840382390363,4.92339849472046
11,Arts et Métiers Sciences et Technologies,Arts et Métiers,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27arts_et_m%C3%A9tiers,"48.83357, 2.35831",48.83357,2.35831
32,École supérieure d'art et de design d'Amiens,Ésad Amiens,public,Hauts-de-France,80,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27art_et_de_design_d%27Amiens,"49.90229, 2.29326",49.90229,2.29326
44,ICN Business School,,privé,Grand Est,54,https://fr.wikipedia.org/wiki/ICN_Business_School,"48.67419, 6.17029",48.67419,6.17029
76,Institut catholique de Toulouse,,privé,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_catholique_de_Toulouse,"43.59529, 1.44233",43.59529,1.44233
32,Institut d'économie scientifique et de gestion,IÉSEG,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/I%C3%89SEG_School_of_Management,"50.63538, 3.04488",50.63538,3.04488
52,Institut des relations publiques et de la communication d’Angers,Ircom,privé,Pays de la Loire,49,,"47.44304, -0.53222",47.44304,-0.53222
27,École supérieure des technologies et des affaires de Belfort,ESTA Belfort,privé,Bourgogne-Franche-Comté,90,,"47.6403207998, 6.86085341826",47.6403207998,6.86085341826
11,Collège de France,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Coll%C3%A8ge_de_France,"48.84879, 2.34534",48.84879,2.34534
11,Institut européen d'administration des affaires,,privé,Île-de-France,77,https://fr.wikipedia.org/wiki/Institut_europ%C3%A9en_d%27administration_des_affaires,"48.4054, 2.68529",48.4054,2.68529
11,Institut national supérieur de formation et de recherche pour l'éducation inclusive,INSEI,public,Île-de-France,92,https://fr.wikipedia.org/wiki/Institut_national_sup%C3%A9rieur_de_formation_et_de_recherche_pour_l%27%C3%A9ducation_inclusive,"48.86853, 2.21315",48.86853,2.21315
32,Institut polytechnique UniLaSalle,UniLaSalle,privé,Hauts-de-France,60,https://fr.wikipedia.org/wiki/Institut_polytechnique_UniLaSalle,"49.45971, 2.06792",49.45971,2.06792
11,Institut supérieur d'électronique de Paris,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_d%27%C3%A9lectronique_de_Paris,"48.84531, 2.32804",48.84531,2.32804
84,Université Claude Bernard - Lyon 1,Lyon I,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_Claude-Bernard-Lyon-I,"45.77962, 4.86518",45.77962,4.86518
84,Université Clermont Auvergne,,public,Auvergne-Rhône-Alpes,63,https://fr.wikipedia.org/wiki/Universit%C3%A9_Clermont-Auvergne,"45.77056, 3.08791",45.77056,3.08791
11,Conservatoire national supérieur de musique et de danse de Paris,CNSMDP,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Conservatoire_national_sup%C3%A9rieur_de_musique_et_de_danse_de_Paris,"48.88882, 2.39076",48.88882,2.39076
11,École nationale supérieure Louis Lumière,ENS Louis Lumière,public,Île-de-France,93,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_Louis-Lumi%C3%A8re,"48.922189, 2.335657",48.922189,2.335657
