code_insee,name,tourism,latitude,longitude
69123,Aparthotel Adagio Lyon Patio Confluence,hotel,45.7453168,4.8227951
69123,Hôtel Tête d'Or,hotel,45.7696867,4.8501955
69123,N/A,information,45.7542787,4.8343022
69123,Slo Hostel Lyon Les Pentes,hostel,45.7706367,4.836805
69123,N/A,picnic_site,45.7701611,4.7854239
69123,N/A,picnic_site,45.7701772,4.7855026
69123,N/A,picnic_site,45.7701877,4.7855392
69123,Mur INSA,artwork,45.78267,4.8722571
69123,N/A,viewpoint,45.7709922,4.830691
69123,N/A,viewpoint,45.7719842,4.8301383
69123,Dombes-Monnet,information,45.7904223,4.839677
69123,N/A,information,45.7875552,4.854287
69123,Mini World Lyon,attraction,45.7647877,4.9232356
69123,Les planches,artwork,45.7680829,4.8222444
69123,Élysée Hôtel,hotel,45.7596779,4.8338503
69123,Parc des hauteurs,information,45.7593408,4.8144446
69123,N/A,information,45.7595882,4.8150514
69123,"Le théâtre romain, un édifice fermé",information,45.7598624,4.8192084
69123,"Sentiers et belvédères, Bissardon",information,45.7859359,4.8338235
69123,Le Désert,information,45.8177773,4.8569866
69123,Institut Lumière,museum,45.7450881,4.8706151
69123,L'Égalité,artwork,45.7528416,4.8828823
69123,La Liberté,artwork,45.7529455,4.8826831
69123,La Fraternité,artwork,45.7529811,4.8828689
69123,N/A,viewpoint,45.7376655,4.8059942
69123,Saint-Laurent de Choulans Basilique funéraire,information,45.7520027,4.8215949
69123,N/A,artwork,45.7730688,4.8014703
69123,Belvédère de Montessuy,viewpoint,45.7878699,4.8475339
69123,Sully Prudhomme,artwork,45.7743658,4.8359891
69123,La taverne Gutenberg,museum,45.7568424,4.8433713
69123,N/A,information,45.7411968,4.8193219
69123,La Roche Percée,attraction,45.8517953,4.7999932
69123,N/A,artwork,45.7694279,4.8302862
69123,N/A,artwork,45.7694273,4.8304569
69123,Les Razes,information,45.7348159,4.7797044
69123,Vallon des Sources,information,45.7413314,4.7879264
69123,Les Aqueducs de Beaunant,information,45.7264619,4.7801498
69123,La Poncetière,information,45.7268905,4.7845121
69123,Chemin du Bac,artwork,45.7182237,4.818193
69123,Ibis Lyon Centre Perrache,hotel,45.748444,4.8280909
69123,Le progrès en avant,artwork,45.7248528,4.9339904
69123,La Main Tendue d’Arman,artwork,45.7633726,4.8582313
69123,Le Site de Giverdy,information,45.8328493,4.7936001
69123,N/A,information,45.7624766,4.8581025
69123,Hôtel d'Estaing,attraction,45.7615067,4.8272594
69123,Villa Maïa,hotel,45.7593058,4.823205
69123,Monument à Laurent Mourguet,artwork,45.7595367,4.8263887
69123,N/A,information,45.7670876,4.9183041
69123,N/A,information,45.7689749,4.9075466
69123,N/A,information,45.7832562,4.8945559
69123,Hôtel d'Alsace,hotel,45.7638806,4.8721228
69123,La Feyssine Parc Naturel Urbain,information,45.7878968,4.8822321
69123,La Feyssine Parc Naturel Urbain,information,45.7877361,4.8811253
69123,N/A,information,45.7844271,4.892582
69123,La Feyssine Parc Naturel Urbain,information,45.7926664,4.8807338
69123,Hôtel Dauly,hotel,45.7315901,4.9168206
69123,Sathonay-Camp,information,45.8262897,4.8767886
69123,Parc du Haut de la Combe,information,45.8262962,4.8767532
69123,Le Haut de la Combe,information,45.826282,4.8768012
69123,Jambe de Loup,information,45.8402399,4.8689001
69123,Les Épinettes,information,45.8382139,4.8667907
69123,Combes-Mercières,information,45.8143417,4.8663482
69123,Novotel Lyon Confluence,hotel,45.7413734,4.8154811
